COUNTRY,events_per_month_pre,events_per_month_post,event_change,fat_per_month_pre,fat_per_month_post,fat_change,usaid_pc
Somalia,218.66666666666666,311.25,92.58333333333334,415.3333333333333,776.6666666666666,361.3333333333333,1.128628875
Nigeria,156.66666666666666,158.16666666666666,1.5,465.3333333333333,628.25,162.91666666666669,0.2599475922330097
Democratic Republic of Congo,80.0,172.75,92.75,143.0,285.75,142.75,2.8919950222222224
South Sudan,39.833333333333336,75.5,35.666666666666664,104.5,187.75,83.25,1.5681487272727272
Mali,61.5,88.91666666666667,27.41666666666667,213.33333333333334,241.58333333333334,28.25,0.8403578
Central African Republic,10.0,15.75,5.75,15.5,43.666666666666664,28.166666666666664,0.44829275
Angola,0.0,1.75,1.75,0.0,26.25,26.25,0.02295113446969697
Benin,5.166666666666667,5.181818181818182,0.015151515151514694,11.333333333333334,27.545454545454547,16.21212121212121,0.47925983333333333
Burundi,3.3333333333333335,2.0,-1.3333333333333335,2.6666666666666665,16.857142857142858,14.190476190476192,0.14779936458333334
Rwanda,0.0,3.0,3.0,0.0,13.0,13.0,0.33913573076923076
Libya,11.166666666666666,16.916666666666668,5.750000000000002,8.0,16.833333333333332,8.833333333333332,0.03403588169642857
Mozambique,10.666666666666666,10.583333333333334,-0.08333333333333215,16.333333333333332,25.083333333333332,8.75,1.075723935483871
Tanzania,1.0,1.0,0.0,0.0,5.0,5.0,0.9943255333333333
Egypt,1.0,2.25,1.25,1.0,5.0,4.0,0.10682879411764706
Ghana,4.0,3.8333333333333335,-0.16666666666666652,6.4,8.75,2.3499999999999996,1.1320525161290322
Morocco,1.8333333333333333,2.2222222222222223,0.38888888888888906,3.3333333333333335,5.333333333333333,1.9999999999999996,0.07577960135135135
Uganda,1.4,2.6,1.2000000000000002,3.0,4.4,1.4000000000000004,1.41808
Guinea,1.5,1.4,-0.10000000000000009,0.0,1.4,1.4,0.01633171514423077
Ivory Coast,1.0,1.375,0.375,0.3333333333333333,1.625,1.2916666666666667,0.014500352163461539
Tunisia,1.25,1.6666666666666667,0.41666666666666674,0.25,0.6666666666666666,0.41666666666666663,0.23289752083333334
Senegal,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.12418751470588235
Algeria,2.0,1.8333333333333333,-0.16666666666666674,3.5,3.6666666666666665,0.16666666666666652,0.0009004808238636363
South Africa,0.0,1.0,1.0,0.0,0.0,0.0,1.7790913898305085
Sierra Leone,0.0,1.0,1.0,0.0,0.0,0.0,0.30992675
Zambia,0.0,1.5,1.5,0.0,0.0,0.0,2.8937982222222223
Malawi,1.0,0.0,-1.0,0.0,0.0,0.0,1.8562227368421054
Liberia,0.0,1.0,1.0,0.0,0.0,0.0,3.5666296
Zimbabwe,0.0,1.0,1.0,0.0,0.0,0.0,0.4481363
Mauritania,1.0,1.0,0.0,1.0,0.0,-1.0,0.343856875
Kenya,16.833333333333332,15.083333333333334,-1.7499999999999982,26.166666666666668,21.666666666666668,-4.5,1.2473548148148148
Madagascar,17.833333333333332,11.416666666666666,-6.416666666666666,25.833333333333332,17.083333333333332,-8.75,0.21458580357142856
Niger,21.333333333333332,24.083333333333332,2.75,121.5,95.16666666666667,-26.33333333333333,0.511045
Chad,1.75,2.5,0.75,39.5,10.5,-29.0,0.180063484375
Cameroon,84.33333333333333,76.41666666666667,-7.916666666666657,128.66666666666666,92.16666666666667,-36.499999999999986,0.19765144444444444
Burkina Faso,75.16666666666667,99.5,24.33333333333333,401.5,363.0,-38.5,0.43660138095238094
Ethiopia,151.83333333333334,142.33333333333334,-9.5,474.3333333333333,430.9166666666667,-43.41666666666663,0.9867833739130435
Sudan,351.8333333333333,219.58333333333334,-132.24999999999997,1472.1666666666667,1182.0,-290.16666666666674,0.3628870681818182
